Day	Phase	Topic	Problem Title	Problem Statement (Do this today)	Key Concepts	Deliverable	Status	Time Spent (mins)	Difficulty	Confidence (1-5)	Notes / What I learned	Next Action
1	Phase 1: Python Fluency (Core)	Setup + Types	Environment Snapshot CLI (no args)	Write a script that prints a 6-line “environment snapshot”: 1) python_version  2) platform  3) cwd  4) has_env_APP_ENV  5) has_env_AWS_REGION  6) timestamp_utc. Rules: must not crash if env vars missing; do not hardcode values; output keys aligned like `key=value`.	control flow, strings, lists, dicts, functions, validation	01_core_python/day001_env_snapshot.py	Not started		Easy			
2	Phase 1: Python Fluency (Core)	Conditionals	HTTP Status Classifier	Implement function classify_http(code:int)->str with these outputs: - HEALTHY for 200–299 - DEGRADED for 300–499 - DOWN for 500–599 - INVALID otherwise Write a main() that reads codes from a list [200, 204, 301, 404, 500, 700] and prints `code -> label`.	control flow, strings, lists, dicts, functions, validation	01_core_python/day002_http_classifier.py	Not started		Easy			
3	Phase 1: Python Fluency (Core)	Loops (for)	Retry Simulator (deterministic)	Implement retry(operation, max_attempts=3) -> (success:bool, attempts:int). `operation()` returns True/False. Call it up to max_attempts times and stop early on success. Validation: max_attempts must be >0 else raise ValueError. Demo: implement operation() that succeeds on the 3rd call (deterministic), show output.	control flow, strings, lists, dicts, functions, validation	01_core_python/day003_retry.py	Not started		Easy			
4	Phase 1: Python Fluency (Core)	Loops (while)	Wait Until Ready (timeout)	Implement wait_until_ready(check_fn, timeout_s=3.0, interval_s=0.5) -> str. Return 'READY' if check_fn() becomes True within timeout, else 'TIMEOUT'. Rules: use time.time() for elapsed time; interval_s must be >0; avoid sleeping past timeout. Demo: check_fn returns True after ~2 seconds (use closure + time).	control flow, strings, lists, dicts, functions, validation	01_core_python/day004_wait_until_ready.py	Not started		Easy			
5	Phase 1: Python Fluency (Core)	break/continue	Filter Nodes with Stop Marker	Given nodes = [{'name':'n1','healthy':True}, {'name':'n2','healthy':False}, {'name':'node-stop','healthy':True}, {'name':'n3','healthy':True}] Write healthy_nodes(nodes)->list[str]: - continue when unhealthy or missing keys - break when name == 'node-stop' Return names of healthy nodes processed before stop marker. Expected: ['n1'].	control flow, strings, lists, dicts, functions, validation	01_core_python/day005_nodes_filter.py	Not started		Easy			
6	Phase 1: Python Fluency (Core)	Mini Task	Service Health Evaluator	Simulate 5 services with (name, http_code, latency_ms). Rules: - base label from classify_http() - if latency_ms > 1000, degrade one level: HEALTHY→DEGRADED, DEGRADED→DOWN, DOWN stays DOWN. Output: per-service line `name code latency_ms label` and a summary count per label. Use functions: generate_data(), classify(), report().	control flow, strings, lists, dicts, functions, validation	01_core_python/day006_service_health.py	Not started		Medium			
7	Phase 1: Python Fluency (Core)	Weekly Review	Rewrite from Memory + Edge Cases	Without opening old files, rewrite: 1) retry() from Day 3 2) wait_until_ready() from Day 4 Add at least 2 additional edge cases you missed (examples: non-callable check_fn, negative timeout, interval > timeout). Write 5 assertions covering edge cases.	control flow, strings, lists, dicts, functions, validation	01_core_python/day007_review.py	Not started		Medium			
8	Phase 1: Python Fluency (Core)	Strings	Parse Log Line (no regex)	Log format: `YYYY-MM-DD HH:MM:SS LEVEL service message...` Example: `2026-01-01 12:01:02 ERROR payments timeout contacting db` Implement parse_log(line)->dict|None returning keys: date,time,level,service,message. Malformed lines return None (e.g., missing fields). Write 5 tests using simple assert statements.	control flow, strings, lists, dicts, functions, validation	01_core_python/day008_parse_log.py	Not started		Easy			
9	Phase 1: Python Fluency (Core)	Strings	Normalize Whitespace + Case	Implement normalize_message(msg:str)->str: - strip leading/trailing spaces - collapse multiple spaces to one - convert to lowercase Examples: '  DB   TIMEOUT  ' -> 'db timeout' '' -> ''. Write a small demo reading 5 sample strings and printing before/after.	control flow, strings, lists, dicts, functions, validation	01_core_python/day009_normalize.py	Not started		Easy			
10	Phase 1: Python Fluency (Core)	Strings	Mask Secrets in Text	Implement mask_secrets(text:str, secrets:list[str])->str. Replace each secret occurrence with '***' (case-sensitive). Example: text='token=ABC123&user=ruchi' secrets=['ABC123'] -> 'token=***&user=ruchi' Edge cases: empty secret list; overlapping secrets; secret not found. Write 6 asserts.	control flow, strings, lists, dicts, functions, validation	01_core_python/day010_mask_secrets.py	Not started		Medium			
11	Phase 1: Python Fluency (Core)	Search/Count	Log Level Counter	Given list of log lines, count occurrences of levels INFO/WARN/ERROR (case-sensitive). Return dict like {'INFO':10,'WARN':2,'ERROR':1}. Ignore malformed lines (use parse_log from Day 8). Provide sample list of at least 12 lines and print summary sorted by level name.	control flow, strings, lists, dicts, functions, validation	01_core_python/day011_level_counter.py	Not started		Medium			
12	Phase 1: Python Fluency (Core)	Formatting	Aligned Report Printer	Write format_report(counts:dict)->str that returns multi-line aligned output: LEVEL   COUNT ERROR   12 INFO    98 WARN    3 Rules: missing keys treated as 0; align columns with spaces. Use f-strings; do not print inside function (return string).	control flow, strings, lists, dicts, functions, validation	01_core_python/day012_format_report.py	Not started		Easy			
13	Phase 1: Python Fluency (Core)	Mini Task	Top-N Error Messages	Given 30 log lines, find top 3 most frequent ERROR messages (message part only). Steps: 1) parse lines 2) keep only level == 'ERROR' 3) count message frequencies Output: list of tuples sorted by count desc then message asc. Use only built-ins (no Counter today).	control flow, strings, lists, dicts, functions, validation	01_core_python/day013_top_errors.py	Not started		Medium			
14	Phase 1: Python Fluency (Core)	Refactor	Refactor to Functions + Docstrings	Take Day 13 solution and refactor into 4 functions: - iter_parsed(lines) - filter_errors(records) - count_messages(records) - top_n(counts, n=3) Add docstrings + type hints. Add 5 asserts for top_n().	control flow, strings, lists, dicts, functions, validation	01_core_python/day014_refactor_top_errors.py	Not started		Medium			
15	Phase 1: Python Fluency (Core)	Lists	Deduplicate Preserving Order	Implement dedupe_preserve(items:list[str])->list[str] preserving first occurrence. Example: ['a','b','a','c','b'] -> ['a','b','c']. Rule: do not use set(items) directly (order must be preserved).	control flow, strings, lists, dicts, functions, validation	01_core_python/day015_dedupe.py	Not started		Easy			
16	Phase 1: Python Fluency (Core)	Lists	Latency Threshold Filter	Given requests=[{'path':'/login','ms':120},{'path':'/pay','ms':1200},{'path':'/pay','ms':800}, ...] Return list of paths where ms >= 1000, uppercase, unique preserving first order. Skip items with missing keys or wrong types.	control flow, strings, lists, dicts, functions, validation	01_core_python/day016_latency_filter.py	Not started		Medium			
17	Phase 1: Python Fluency (Core)	Lists	Rolling Average	Implement rolling_avg(nums:list[float], k:int)->list[float]. Example nums=[1,2,3,4], k=2 -> [1.5,2.5,3.5]. Validation: if k<=0 or k>len(nums) return [].	control flow, strings, lists, dicts, functions, validation	01_core_python/day017_rolling_avg.py	Not started		Easy			
18	Phase 1: Python Fluency (Core)	Algorithms (basic)	Binary Search	Implement binary_search(sorted_nums:list[int], target:int)->int returning index or -1. Add 8 asserts including boundaries (first/last), not found, empty list. Do not use list.index().	control flow, strings, lists, dicts, functions, validation	01_core_python/day018_binary_search.py	Not started		Medium			
19	Phase 1: Python Fluency (Core)	Comprehensions	Refactor with Comprehensions	Refactor 3 earlier loops (your choice from Days 11–16) into readable list/dict comprehensions. Rule: keep readability; if it becomes unreadable, keep loop. Add before/after snippets as comments.	control flow, strings, lists, dicts, functions, validation	01_core_python/day019_comprehension_refactor.py	Not started		Easy			
20	Phase 1: Python Fluency (Core)	Mini Task	Latency Analyzer (p95 approx)	Given calls=[{'endpoint':'/a','ms':120}, ...] (min 50 items), compute: - avg latency - min endpoint (by ms) - max endpoint (by ms) - p95 approx: sort ms and take value at ceil(0.95*n)-1 Print a report with these values. Validate empty input -> raise ValueError.	control flow, strings, lists, dicts, functions, validation	01_core_python/day020_latency_analyzer.py	Not started		Medium			
21	Phase 1: Python Fluency (Core)	Review	Rewrite Analyzer + Validation	Rewrite Day 20 without looking. Add: - strict type validation for ms - skip invalid records, count how many skipped - return a dict result and print separately	control flow, strings, lists, dicts, functions, validation	01_core_python/day021_review_latency.py	Not started		Medium			
22	Phase 1: Python Fluency (Core)	Dictionaries	Error Count per Service	Input pairs: [('auth','ERROR'),('auth','INFO'),('pay','ERROR'),...] Create dict counting only ERROR per service. Return dict sorted by value desc (return list of tuples).	control flow, strings, lists, dicts, functions, validation	01_core_python/day022_errors_per_service.py	Not started		Easy			
23	Phase 1: Python Fluency (Core)	Dictionaries	HTTP Code Frequency	Given status_codes list, compute frequency dict and return list of (code,count) sorted by count desc then code asc. Example [200,200,500,404,500] -> [(200,2),(500,2),(404,1)].	control flow, strings, lists, dicts, functions, validation	01_core_python/day023_http_freq.py	Not started		Easy			
24	Phase 1: Python Fluency (Core)	Nested dicts	Region -> Service -> Errors	Given rows like {'region':'us-east-1','service':'auth','errors':3}, build nested dict: {'us-east-1': {'auth':3, ...}, ...} Skip rows with missing/empty region/service or non-int errors. Provide demo with at least 8 rows across 2 regions.	control flow, strings, lists, dicts, functions, validation	01_core_python/day024_nested_metrics.py	Not started		Medium			
25	Phase 1: Python Fluency (Core)	Sets	Duplicate IDs Report	Given user_ids list, produce: - unique_count - duplicates list where each duplicate appears once, in the order it first became a duplicate. Example: [1,2,1,3,2,2] -> unique_count=3, duplicates=[1,2].	control flow, strings, lists, dicts, functions, validation	01_core_python/day025_duplicates.py	Not started		Medium			
26	Phase 1: Python Fluency (Core)	Merging dicts safely	Safe Config Merge	Implement merge_config(defaults:dict, overrides:dict, allowed_keys:set[str])->(merged, unknown_keys). Rules: - merged starts from defaults, then apply overrides only for allowed keys. - collect keys in overrides not in allowed_keys. Demo allowed_keys={'host','port','timeout'}.	control flow, strings, lists, dicts, functions, validation	01_core_python/day026_safe_merge.py	Not started		Medium			
27	Phase 1: Python Fluency (Core)	Mini Task	Metrics Aggregator	Events: {'service','ms','status'}. Compute per service: request_count, error_count(status>=500), avg_latency_ms. Then compute error_rate=error_count/request_count. Print services sorted by error_rate desc then avg_latency desc. Skip invalid events and report skipped count.	control flow, strings, lists, dicts, functions, validation	01_core_python/day027_metrics_aggregator.py	Not started		Medium			
28	Phase 1: Python Fluency (Core)	Review	Make Aggregator Pure + Testable	Refactor Day 27: - pure function aggregate(events)->dict - pure function render(result)->str Add 8 asserts for aggregate() with edge cases (empty, invalid events, all errors).	control flow, strings, lists, dicts, functions, validation	01_core_python/day028_review_metrics.py	Not started		Medium			
29	Phase 1: Python Fluency (Core)	Functions	Validate Port	Implement validate_port(port_str:str)->int|None. Accept strings with spaces. Return int if 1..65535 else None. Examples: '443'->443, ' 0 '->None, 'abc'->None, ''->None.	control flow, strings, lists, dicts, functions, validation	01_core_python/day029_validate_port.py	Not started		Easy			
30	Phase 1: Python Fluency (Core)	Mini Project	Config Loader (defaults + env + JSON)	Build load_config(defaults:dict, env_prefix:str, json_path:str|None)->dict. Precedence: defaults < env vars (ENV_PREFIX_KEY) < JSON file. Requirements: - unknown keys collected into list and printed once - required keys: host, port - port must be int 1..65535 Provide sample defaults and a sample JSON file content in code comment. Write at least 6 asserts for validation helpers.	control flow, strings, lists, dicts, functions, validation	01_core_python/day030_config_loader.py	Not started		Hard			
31	Phase 2: Automation & Tooling	Exceptions	Safe JSON Reader	Implement read_json(path)->object|None. - Return parsed JSON (dict or list) - If file missing: return None and log a warning - If invalid JSON: return None and log an error Use logging module, not print. Provide demo with: missing file, bad json, good json.	files, json/yaml, logging, argparse, exceptions, tests	02_data_handling/day031_safe_json_reader.py	Not started		Easy			
32	Phase 2: Automation & Tooling	Files	Atomic Write	Write function atomic_write(path:str, content:str) that writes content safely: - write to temp file in same directory - fsync (optional) then rename to final path - ensure directory exists Create a demo writing report.txt twice and show file contains latest content.	files, json/yaml, logging, argparse, exceptions, tests	02_data_handling/day032_atomic_write.py	Not started		Medium			
33	Phase 2: Automation & Tooling	YAML	YAML Validator (K8s-style)	Given a Kubernetes Deployment YAML (as string in code), parse it (PyYAML). Validate: - kind == Deployment - spec.replicas exists and is int >=1 - containers list non-empty and each has image Output a list of validation errors (empty list means OK).	files, json/yaml, logging, argparse, exceptions, tests	02_data_handling/day033_yaml_validator.py	Not started		Medium			
34	Phase 2: Automation & Tooling	CSV	CSV Summarizer	Input CSV columns: endpoint,ms,status. Compute per endpoint: count, avg_ms, error_count(status>=500). Print top 5 endpoints by error_count desc then avg_ms desc. Write output as JSON report to a file.	files, json/yaml, logging, argparse, exceptions, tests	02_data_handling/day034_csv_summarizer.py	Not started		Medium			
35	Phase 2: Automation & Tooling	Env vars	Env Getter Utility	Implement get_env(name, default=None, required=False, cast=None). - missing and required=True -> raise ValueError - cast can be int/bool/float; invalid cast -> raise ValueError with helpful message Write 8 asserts for cast behaviors and required behavior.	files, json/yaml, logging, argparse, exceptions, tests	02_data_handling/day035_get_env.py	Not started		Medium			
36	Phase 2: Automation & Tooling	Logging	Structured Logging Helper	Create get_logger(app_name) that logs with format: timestamp level app_name message key1=value1 key2=value2 Implement helper log_kv(logger, level, message, **kwargs). Demo: log a request_id, service, latency_ms.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day036_structured_logging.py	Not started		Medium			
37	Phase 2: Automation & Tooling	Argparse	CLI: log-summary	Build CLI tool: python log_summary.py --file app.log --level ERROR --top 3 Behavior: - parse log lines (use your earlier parser or simple split) - filter by level if provided - print counts by service and top N messages Exit code: 0 success, 2 if file missing.	files, json/yaml, logging, argparse, exceptions, tests	03_cli_tools/day037_cli_log_summary.py	Not started		Medium			
